2457388.500000000,  1.534620188611305E+09,  2.815510235840138E+09,  2.848378218546246E+09, -1.416998690192676E+01, -1.980658475151466E+01, -2.260573267253040E+01
2457389.500000000,  1.533395892092405E+09,  2.813798929211265E+09,  2.846425065329079E+09, -1.417021033959085E+01, -1.980699471566530E+01, -2.260614744534232E+01
2457390.500000000,  1.532171576256884E+09,  2.812087587136818E+09,  2.844471876251976E+09, -1.417043404603482E+01, -1.980740525110991E+01, -2.260656276380409E+01
2457391.500000000,  1.530947241081496E+09,  2.810376209567386E+09,  2.842518651267746E+09, -1.417065802174366E+01, -1.980781635904808E+01, -2.260697862899863E+01
2457392.500000000,  1.529722886542958E+09,  2.808664796453452E+09,  2.840565390329108E+09, -1.417088226719926E+01, -1.980822804068135E+01, -2.260739504201200E+01
2457393.500000000,  1.528498512617941E+09,  2.806953347745399E+09,  2.838612093388678E+09, -1.417110678288643E+01, -1.980864029721471E+01, -2.260781200393300E+01
2457394.500000000,  1.527274119283078E+09,  2.805241863393501E+09,  2.836658760398987E+09, -1.417133156929384E+01, -1.980905312985536E+01, -2.260822951585296E+01
2457395.500000000,  1.526049706514957E+09,  2.803530343347932E+09,  2.834705391312468E+09, -1.417155662690416E+01, -1.980946653982167E+01, -2.260864757886744E+01
2457396.500000000,  1.524825274290124E+09,  2.801818787558759E+09,  2.832751986081457E+09, -1.417178195620941E+01, -1.980988052831972E+01, -2.260906619407286E+01
2457397.500000000,  1.523600822585085E+09,  2.800107195975942E+09,  2.830798544658196E+09, -1.417200755769889E+01, -1.981029509657123E+01, -2.260948536256991E+01
2457398.500000000,  1.522376351376301E+09,  2.798395568549339E+09,  2.828845066994837E+09, -1.417223343186141E+01, -1.981071024580254E+01, -2.260990508546248E+01
2457399.500000000,  1.521151860640192E+09,  2.796683905228700E+09,  2.826891553043431E+09, -1.417245957918884E+01, -1.981112597723979E+01, -2.261032536385692E+01
2457400.500000000,  1.519927350353136E+09,  2.794972205963669E+09,  2.824938002755933E+09, -1.417268600017486E+01, -1.981154229210722E+01, -2.261074619886206E+01
2457401.500000000,  1.518702820491466E+09,  2.793260470703785E+09,  2.822984416084205E+09, -1.417291269531524E+01, -1.981195919163698E+01, -2.261116759158993E+01
2457402.500000000,  1.517478271031475E+09,  2.791548699398480E+09,  2.821030792980012E+09, -1.417313966510526E+01, -1.981237667706667E+01, -2.261158954315588E+01
2457403.500000000,  1.516253701949412E+09,  2.789836891997078E+09,  2.819077133395021E+09, -1.417336691003850E+01, -1.981279474963942E+01, -2.261201205467867E+01
2457404.500000000,  1.515029113221482E+09,  2.788125048448797E+09,  2.817123437280804E+09, -1.417359443061297E+01, -1.981321341059761E+01, -2.261243512727940E+01
2457405.500000000,  1.513804504823849E+09,  2.786413168702745E+09,  2.815169704588836E+09, -1.417382222732958E+01, -1.981363266118343E+01, -2.261285876208171E+01
2457406.500000000,  1.512579876732632E+09,  2.784701252707927E+09,  2.813215935270492E+09, -1.417405030069060E+01, -1.981405250264692E+01, -2.261328296021260E+01
2457407.500000000,  1.511355228923908E+09,  2.782989300413235E+09,  2.811262129277054E+09, -1.417427865119204E+01, -1.981447293624867E+01, -2.261370772280336E+01
2457408.500000000,  1.510130561373711E+09,  2.781277311767453E+09,  2.809308286559703E+09, -1.417450727933936E+01, -1.981489396323878E+01, -2.261413305098638E+01
2457409.500000000,  1.508905874058028E+09,  2.779565286719261E+09,  2.807354407069522E+09, -1.417473618563592E+01, -1.981531558488122E+01, -2.261455894589825E+01
2457410.500000000,  1.507681166952808E+09,  2.777853225217224E+09,  2.805400490757497E+09, -1.417496537058672E+01, -1.981573780243976E+01, -2.261498540867828E+01
2457411.500000000,  1.506456440033951E+09,  2.776141127209800E+09,  2.803446537574514E+09, -1.417519483469747E+01, -1.981616061718242E+01, -2.261541244046893E+01
2457412.500000000,  1.505231693277317E+09,  2.774428992645339E+09,  2.801492547471364E+09, -1.417542457847595E+01, -1.981658403038068E+01, -2.261584004241563E+01
2457413.500000000,  1.504006926658721E+09,  2.772716821472078E+09,  2.799538520398732E+09, -1.417565460243041E+01, -1.981700804330958E+01, -2.261626821566700E+01
2457414.500000000,  1.502782140153934E+09,  2.771004613638146E+09,  2.797584456307209E+09, -1.417588490707068E+01, -1.981743265724809E+01, -2.261669696137471E+01
2457415.500000000,  1.501557333738681E+09,  2.769292369091560E+09,  2.795630355147286E+09, -1.417611549290769E+01, -1.981785787347865E+01, -2.261712628069354E+01
2457416.500000000,  1.500332507388646E+09,  2.767580087780226E+09,  2.793676216869352E+09, -1.417634636045377E+01, -1.981828369328717E+01, -2.261755617478136E+01
2457417.500000000,  1.499107661079467E+09,  2.765867769651940E+09,  2.791722041423697E+09, -1.417657751022227E+01, -1.981871011796351E+01, -2.261798664479922E+01
2457418.500000000,  1.497882794786736E+09,  2.764155414654385E+09,  2.789767828760511E+09, -1.417680894272795E+01, -1.981913714880098E+01, -2.261841769191124E+01
2457419.500000000,  1.496657908486006E+09,  2.762443022735133E+09,  2.787813578829881E+09, -1.417704065848669E+01, -1.981956478709688E+01, -2.261884931728475E+01
2457420.500000000,  1.495433002152777E+09,  2.760730593841642E+09,  2.785859291581796E+09, -1.417727265801545E+01, -1.981999303415201E+01, -2.261928152209022E+01
2457421.500000000,  1.494208075762512E+09,  2.759018127921261E+09,  2.783904966966143E+09, -1.417750494183290E+01, -1.982042189127076E+01, -2.261971430750126E+01
2457422.500000000,  1.492983129290626E+09,  2.757305624921223E+09,  2.781950604932705E+09, -1.417773751045868E+01, -1.982085135976148E+01, -2.262014767469467E+01
